name,address,위도,경도
왕대박,부산 동래구 여고로113번길 59-4 ,35.201066419,129.074091692
명당골복권방,경기 수원시 권선구 동수원로242번길 15 104호,37.251098152,127.035486467
로또복권4공단점,경북 구미시 첨단기업1로 18 ,36.140410134,128.439339831
CU(삼천포점),경남 사천시 주공로 24,34.940237313,128.086817152
창원병원앞매표소,경남 창원시 성산구 창원대로 721 가판,35.218513321,128.671621403
로또판매점,서울 관악구 관천로10길 20 1층,37.485053992,126.926479985
복권천국,대구 중구 달구벌대로 2214,35.862355970,128.605300850
북문복권방,경기 수원시 장안구 정조로 927-1 생맥주타운 ,37.290296499,127.012825493
장미슈퍼,충남 부여군 부여읍 계백로 265 부여군청 로터리 부근,0,0
로또명당인주점,충남 아산시 서해로 519-2 ,36.877624712,126.896939465
CU(구미사곡점),경북 구미시 상사동로 151-4 ,36.098316207,128.358561340
대박찬스,서울 강북구 솔매로 105-1,37.625797302,127.024010667
버스판매소,서울 영등포구 영중로 13 신세계앞,37.517561399,126.905718467
돈벼락복권방,대구 북구 동변로 82-1 1층,35.920688403,128.603792828
제일슈퍼,인천 연수구 앵고개로 242 제일상가112호,37.408635360,126.670834903
그린편의점,광주 서구 매월2로 53 광주산업용재유통센터 23동 103호,35.116815540,126.860859351
GS25(대전월평점),대전 서구 월평동로 45 진달래아파트상가,36.358743017,127.368097115
대림통상,울산 중구 신기14길 1 일신아파트 일신아파트상가102호,35.552612038,129.296864782
버스표판매소,경기 고양시 덕양구 화신로 76 샘터마을1단지아파트 971번지선,37.620105419,126.839306013
금강복권,경기 김포시 율생로 3 ,37.652770388,126.590477813
금도끼복권방,경기 양평군 용문로 812 1층,37.507273828,127.631592067
SK행운편의점,경기 오산시 내삼미로79번길 12 베네치아B동 103호,37.169481911,127.064947391
행복드림,경기 화성시 메타폴리스로 42 디앤씨빌딩 104호,37.201704090,127.071860148
운수대통복권방,충남 천안시 동남구 대흥로 122 중앙시장 입구,36.800468738,127.149298769
복권나라,전남 목포시 당가두로14번길 47-1 103호 복권나라,34.807600038,126.437161921
세방매점,경북 경주시 산업로 4447 ,35.876666794,129.226478964
굿럭스토어,경북 경주시 양정로328번길 18 1층,35.862477751,129.225492912
꿈의가게,경남 김해시 계동로 220 102호 복권판매점,35.190317469,128.802172116
천하명당초량점,부산 동구 중앙대로221번길 3 ,35.116860729,129.040114305
싱글벙글 6/45,부산 연제구 중앙대로 1041 좌측 싱글벙글복권방,35.181515497,129.077773925
스카이편의점,경기 안양시 만안구 박달로 527,37.402748722,126.911274804
열두보석복권방,경기 용인시 기흥구 구갈로 74 구갈스포츠센타 구갈스포츠센터106호,37.281089074,127.111668310
로또명당해미점,충남 서산시 남문2로 108 ,36.713475752,126.544217851
행복 복권판매점,경남 양산시 상북중앙로 382 신흥부동산 ,35.417201236,129.062514448
행복 복권판매점,경남 양산시 상북중앙로 382 신흥부동산 ,35.417201236,129.062514448
상호없음,서울 중구 세종대로 92 한화금융센터 태평로 ,0,0
훼미리팔공지묘점내로또복권판매점,대구 동구 파계로 83 ,35.941280038,128.637569315
LOTTO가맹점,인천 연수구 선학로 101 뉴서울1차아파트 ,37.425430960,126.699921980
드림월드,경기 성남시 수정구 수정로 346 백강빌딩 ,37.454395355,127.150016708
대일사,경북 영천시 동부로 31-6,35.973137524,128.948339755
복권방,서울 구로구 구로동 409-80번지 1층,0,0
인터넷 복권판매사이트,동행복권,0,0
올림픽점,서울 송파구 충민로 66 가든파이브라이프 테크노관 10층 T-10011호,37.477713547,127.125119234
나라시스컴,서울 영등포구 영등포로 225 영신상가1호,37.519902667,126.906650946
배임,서울 용산구 보광로 19 1층,37.526288461,127.000651630
뉴빅마트,부산 기장군 정관중앙로 48 106호,35.321095639,129.179271139
스파편의점,부산 사상구 가야대로 288 창조상가106호,35.150008252,129.004087052
롯데무역,부산 영도구 꿈나무길 197 1층 복권방,35.087266466,129.043718254
GS25(대전둔산점),대전 서구 문정로 114 ,36.346474999,127.391930659
복권명당,대전 중구 목중로54번길 2,36.338194576,127.409054361
