날짜,종가,등락율,시작가,최고가,최저가,거래량
2020-06-29,52400,-1.69,52500,53200,52000,17776925
2020-06-26,53300,2.70,52800,53900,52200,21575360
2020-06-25,51900,-1.89,52100,53000,51900,18541624
2020-06-24,52900,2.92,51900,53900,51600,24519552
2020-06-23,51400,-1.15,52500,52800,51100,18086152
2020-06-22,52000,-1.70,52000,52600,51800,13801350
2020-06-19,52900,1.15,52600,52900,51600,18157985
2020-06-18,52300,0.19,52200,52300,51600,15982926
2020-06-17,52200,0.19,52100,52900,51300,26672595
2020-06-16,52100,4.41,51200,52100,50600,21808375
2020-06-15,49900,-4.59,51400,52000,49900,28772921
2020-06-12,52300,-3.68,52100,52800,51500,26976019
2020-06-11,54300,-1.99,54500,55100,53200,33815123
2020-06-10,55400,-0.18,55100,55900,54900,16742493
2020-06-09,55500,1.09,55800,56500,54400,23998831
2020-06-08,54900,-1.08,56400,56500,54700,25634965
2020-06-05,55500,1.65,54400,55900,54000,22743629
2020-06-04,54600,0.18,55800,57000,54600,40220334
2020-06-03,54500,6.03,51800,55000,51700,49257814
2020-06-02,51400,0.39,51000,51500,50800,14247933
2020-06-01,51200,0.99,50800,51200,50600,16949183
2020-05-29,50700,0.60,50000,50700,49700,27596961
2020-05-28,50400,1.00,51100,51200,49900,31309318
2020-05-27,49900,1.32,48950,50000,48800,19548479
2020-05-26,49250,0.82,48700,49450,48600,15127490
2020-05-25,48850,0.21,48750,48900,48450,14337913
2020-05-22,48750,-2.40,49600,49800,48600,19706284
2020-05-21,49950,-0.10,50300,50400,49850,14949266
2020-05-20,50000,-0.60,50000,50200,49800,14896899
2020-05-19,50300,3.07,50100,50500,49700,25168295
2020-05-18,48800,1.99,47950,49100,47600,20481981
2020-05-15,47850,-0.31,48400,48450,47700,18463118
2020-05-14,48000,-1.13,47750,48100,47650,19305974
2020-05-13,48550,1.36,47250,48550,47200,20223277
2020-05-12,47900,-1.03,48400,48500,47550,23433590
2020-05-11,48400,-0.82,48900,49250,48300,16357743
2020-05-08,48800,0.00,49100,49350,48800,15319700
2020-05-07,48800,-0.81,49200,49300,48700,13884411
2020-05-06,49200,1.44,49000,49200,48500,18070225
2020-05-04,48500,-3.00,48900,49100,48500,26083749
2020-04-29,50000,-0.20,49900,50500,49600,15604533
2020-04-28,50100,0.50,49850,50100,49300,16095399
2020-04-27,49850,1.01,49350,50000,49100,14049471
2020-04-24,49350,-1.00,49650,49750,49000,15618347
2020-04-23,49850,0.00,50200,50300,49500,18754442
